"year","seas","fleet","catch","catch_se"
1992,1,1,3.54,0.01
1995,1,1,14714.78,0.01
1996,1,1,17346.13,0.01
1997,1,1,20682.68,0.01
1998,1,1,24387.43,0.01
1999,1,1,18573.27,0.01
2000,1,1,20441.1,0.01
2001,1,1,17811.08,0.01
2002,1,1,15574.78,0.01
2003,1,1,13784.922,0.01
2004,1,1,17398.094,0.01
2005,1,1,16107.965,0.01
2006,1,1,17981.162,0.01
2007,1,1,18958.246,0.01
2008,1,1,24539.791,0.01
2009,1,1,19557.932,0.01
2010,1,1,20127.0738500835,0.01
2011,1,1,13558.0184027633,0.01
2012,1,1,11367.5369894282,0.01
2013,1,1,17354.7862382806,0.01
2014,1,1,16512.2671365316,0.01
2015,1,1,11307.5319235185,0.01
2016,1,1,10312.986501552,0.01
2017,1,1,9110.9001239369,0.01
2018,1,1,11006.6516104317,0.01
2019,1,1,15879.9753614102,0.01
2020,1,1,9393.2476302872,0.01
