
SB0 SB40 SB35 MeanRec HarMeanRec Bnow
486575 194630 170301 549558 461868 185492 
CV Recruit
1.17461 
Alternative 1 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2034  0 83426.7 90758.3 30782.3 66453.9 71391.9 124486 31367 
2035  0 83426.7 90758.3 31610.8 72183 75439.2 128041 32774.2 
2036  0 83426.7 90758.3 32341 75461.3 78196.6 136412 33310.6 
2037  0 83426.7 90758.3 31945.9 77368.5 79833.8 136956 33296.9 
2038  0 83426.7 90758.3 32894 78008.6 80645.8 139078 33009.3 

Spawning_Biomass 2024-10-23-projection_data.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 486575 194630 170301 185492 185492 185492 185492 4.07454e-10 
2025 486575 194630 170301 204306 204315 204323 204366 24.2303 
2026 486575 194630 170301 220415 220473 220515 220753 129.658 
2027 486575 194630 170301 230330 230579 230746 231684 518.216 
2028 486575 194630 170301 198498 199369 199890 202876 1682.34 
2029 486575 194630 170301 169991 172648 174100 182414 4790.72 
2030 486575 194630 170301 149035 155494 158951 178991 11183.3 
2031 486575 194630 170301 133874 148360 154949 195917 22523 
2032 486575 194630 170301 123890 151273 160369 231697 36594.4 
2033 486575 194630 170301 117506 160120 170748 262261 48610.4 
2034 486575 194630 170301 115463 170129 181882 287764 56861.5 
2035 486575 194630 170301 118301 177401 191171 304903 62702.9 
2036 486575 194630 170301 119664 183558 197816 315560 66682.7 
2037 486575 194630 170301 122321 187288 201743 329493 68310.3 
2038 486575 194630 170301 121689 187918 203530 335535 67798.4 

Fishing_mortality2024-10-23-projection_data.dat
Year F0 Fabc Fofl LowCI_F Median_F Mean_F UpperCI_F Stdev_F 
2024  0 0.39806 0.491865 0.0522812 0.0522812 0.0522812 0.0522812 1.8735e-16 
2025  0 0.39806 0.491865 0.0492284 0.0492622 0.0492567 0.0492679 1.57387e-05 
2026  0 0.39806 0.491865 0.0467552 0.0469849 0.0469511 0.0470301 0.000104693 
2027  0 0.39806 0.491865 0.39806 0.39806 0.39806 0.39806 4.82947e-15 
2028  0 0.39806 0.491865 0.39806 0.39806 0.39806 0.39806 4.82947e-15 
2029  0 0.39806 0.491865 0.345016 0.350736 0.353749 0.37176 0.00944784 
2030  0 0.39806 0.491865 0.299899 0.313807 0.320724 0.364392 0.0209402 
2031  0 0.39806 0.491865 0.26726 0.298446 0.309548 0.39806 0.0366079 
2032  0 0.39806 0.491865 0.245767 0.304719 0.31388 0.39806 0.0501793 
2033  0 0.39806 0.491865 0.232024 0.323766 0.32453 0.39806 0.0574659 
2034  0 0.39806 0.491865 0.227624 0.345313 0.3354 0.39806 0.0595322 
2035  0 0.39806 0.491865 0.233734 0.360969 0.343655 0.39806 0.0589778 
2036  0 0.39806 0.491865 0.236669 0.374223 0.349003 0.39806 0.0572571 
2037  0 0.39806 0.491865 0.242389 0.382253 0.352302 0.39806 0.0560259 
2038  0 0.39806 0.491865 0.241028 0.38361 0.354099 0.39806 0.055044 

Total_Biomass2024-10-23-projection_data.dat
Year B100 Babc Bofl LowCI_Biom Median_Biom Mean_Biom UpperCI_Biom Stdev_Biom 
2024 1.5471e+06 1.01763e+06 966955 782243 782243 782243 782243 1.15251e-08 
2025 1.5471e+06 1.01763e+06 966955 771764 786851 801418 876706 42001.8 
2026 1.5471e+06 1.01763e+06 966955 754718 805121 832021 998100 87171.8 
2027 1.5471e+06 1.01763e+06 966955 737152 839096 874735 1.13584e+06 137426 
2028 1.5471e+06 1.01763e+06 966955 652328 814292 857193 1.2056e+06 185731 
2029 1.5471e+06 1.01763e+06 966955 593921 809506 862549 1.2997e+06 231943 
2030 1.5471e+06 1.01763e+06 966955 562141 833607 888597 1.38401e+06 271685 
2031 1.5471e+06 1.01763e+06 966955 559439 873937 924381 1.46407e+06 300485 
2032 1.5471e+06 1.01763e+06 966955 560759 900979 958460 1.50248e+06 319690 
2033 1.5471e+06 1.01763e+06 966955 558744 926265 986875 1.58893e+06 328668 
2034 1.5471e+06 1.01763e+06 966955 565353 951690 1.00597e+06 1.59985e+06 332132 
2035 1.5471e+06 1.01763e+06 966955 584672 966804 1.01796e+06 1.64215e+06 332494 
2036 1.5471e+06 1.01763e+06 966955 578326 983217 1.02539e+06 1.67218e+06 329044 
2037 1.5471e+06 1.01763e+06 966955 599499 976791 1.02907e+06 1.66873e+06 325494 
2038 1.5471e+06 1.01763e+06 966955 605819 977736 1.03203e+06 1.63732e+06 321653 
Alternative 3 Alternative  Stock: 2024-10-23-projection_data.dat
Catch 2024-10-23-projection_data.dat
Year C0 Cabc Cofl LowCI_Catch Median_Catch Mean_Catch UpperCI_Catch Stdev_Catch 
2024  0 83426.7 90758.3 11125 11125 11125 11125 5.45697e-11 
2025  0 83426.7 90758.3 11148 11148 11148 11148 2.4587e-06 
2026  0 83426.7 90758.3 11148 11148 11148 11148 7.70999e-05 
2027  0 83426.7 90758.3 14266.6 14330.1 14375 14625.4 137.116 
2028  0 83426.7 90758.3 14327.7 14543.8 14671.9 15404.2 410.17 
2029  0 83426.7 90758.3 14176.3 14725.9 15007.1 16679 920.812 
2030  0 83426.7 90758.3 13875.1 15018.5 15489.9 18672.7 1660.87 
2031  0 83426.7 90758.3 13532.3 15525.9 16177.5 21201.1 2544.91 
2032  0 83426.7 90758.3 13219.7 16268.1 17065.3 23429.6 3468.32 
2033  0 83426.7 90758.3 13002.8 17056.2 18055.2 25964.5 4350.07 
2034  0 83426.7 90758.3 12951.5 18137.6 19095.6 28381.7 5134.73 
2035  0 83426.7 90758.3 13115.8 19019.3 20093.7 30455.4 5784.06 
2036  0 83426.7 90758.3 13151.7 19909.4 21021.3 32021.6 6276.84 
2037  0 83426.7 90758.3 13238.2 20639.2 21798.6 33887.1 6617.53 
2038  0 83426.7 90758.3 13320.3 21398.5 22443.8 34423.2 6830.73 

Spawning_Biomass 2024-10-23-projection_data.dat
Year SSB100 SSBabc SSBofl LowCI_SSB Median_SSB Mean_SSB UpperCI_SSB Stdev_SSB 
2024 486575 194630 170301 185492 185492 185492 185492 4.07454e-10 
2025 486575 194630 170301 204306 204315 204323 204366 24.2303 
2026 486575 194630 170301 220415 220473 220515 220753 129.658 
2027 486575 194630 170301 230330 230579 230746 231684 518.216 
2028 486575 194630 170301 233093 233968 234491 237494 1691.49 
2029 486575 194630 170301 231157 233861 235323 243799 4867.65 
